,DEPRESSED_MOOD,ANHEDONIA,APPETITE_CHANGE,SLEEP_ISSUES,PSYCHOMOTOR,FATIGUE,WORTHLESSNESS,COGNITIVE_ISSUES,SUICIDAL_THOUGHTS,SPECIAL_CASE,NO_SYMPTOM
DEPRESSED_MOOD,29,0,0,0,0,0,3,1,1,1,1
ANHEDONIA,1,12,0,0,0,0,2,0,0,1,1
APPETITE_CHANGE,0,0,4,0,0,0,0,0,0,0,0
SLEEP_ISSUES,0,0,0,11,0,0,0,0,0,0,1
PSYCHOMOTOR,0,0,0,0,1,0,0,0,0,0,0
FATIGUE,0,0,0,1,0,7,0,0,0,0,0
WORTHLESSNESS,2,0,0,0,0,0,24,0,0,1,1
COGNITIVE_ISSUES,0,0,0,0,0,0,0,4,0,0,0
SUICIDAL_THOUGHTS,0,0,0,0,0,0,0,0,19,0,0
SPECIAL_CASE,0,1,1,0,0,0,0,0,0,5,0
NO_SYMPTOM,10,3,4,4,2,2,1,5,0,2,2
